Reader,Metric,Delta,CI_Lower,CI_Upper,Significant
BCR,SENSITIVITY,-0.030277549686809787,-0.10131754660843734,0.04079739754014686,No
BCR,SPECIFICITY,0.09245321471823797,0.016073307119883456,0.16468076442137783,Yes
BCR,PPV,0.0880823529351008,0.01111040122668032,0.1612510600763073,Yes
BCR,NPV,-0.023640843475293303,-0.10120247695852531,0.052221494574816396,No
EMS,SENSITIVITY,-0.11457208595776973,-0.18427900893367047,-0.043640417457305555,Yes
EMS,SPECIFICITY,0.41348241723213375,0.341743200564432,0.490802615254016,Yes
EMS,PPV,0.21833576719719391,0.1539685099227146,0.2879804426020533,Yes
EMS,NPV,0.05120574715147792,-0.061155161908838386,0.17049130246104618,No
Resident,SENSITIVITY,-0.005464078035159696,-0.08470263626926766,0.06518528938021638,No
Resident,SPECIFICITY,0.21534064669738676,0.14133260379254928,0.2968587528063335,Yes
Resident,PPV,0.2013136088701653,0.12788786009804418,0.27462042938698333,Yes
Resident,NPV,0.007758157406169444,-0.07367379199985387,0.09233614270517959,No
